Time,
2020-11-30 14:59:00 UTC,1.5019722
2020-11-30 15:00:00 UTC,0.81427527
2020-11-30 15:01:00 UTC,0.44459267
2020-11-30 15:02:00 UTC,0.26846235
2020-11-30 15:03:00 UTC,0.10962546
2020-11-30 15:04:00 UTC,0.37805257
2020-11-30 15:05:00 UTC,0.88953022
2020-11-30 15:06:00 UTC,0.52238376
2020-11-30 15:07:00 UTC,0.82197029
2020-11-30 15:08:00 UTC,0.38982047
2020-11-30 15:09:00 UTC,1.12071506
2020-11-30 15:10:00 UTC,1.22970782
2020-11-30 15:11:00 UTC,4.26844067
2020-11-30 15:12:00 UTC,0.26367784
2020-11-30 15:13:00 UTC,2.63703061
2020-11-30 15:14:00 UTC,7.14285766
2020-11-30 15:15:00 UTC,0.3023798
2020-11-30 15:16:00 UTC,0.94059093
2020-11-30 15:17:00 UTC,0.33144967
2020-11-30 15:18:00 UTC,0.08729451
2020-11-30 15:19:00 UTC,0.22572492
2020-11-30 15:20:00 UTC,0.19703096
2020-11-30 15:21:00 UTC,0.02129116
2020-11-30 15:22:00 UTC,0.31345083
2020-11-30 15:23:00 UTC,0.1971899
2020-11-30 15:24:00 UTC,0.8419655
2020-11-30 15:25:00 UTC,0.33533854
2020-11-30 15:26:00 UTC,0.11530422
2020-11-30 15:27:00 UTC,0.11360789
2020-11-30 15:28:00 UTC,0.07261369
2020-11-30 15:29:00 UTC,0.14008809
2020-11-30 15:30:00 UTC,5.28414126
2020-11-30 15:31:00 UTC,0.68864543
2020-11-30 15:32:00 UTC,0.79245176
2020-11-30 15:33:00 UTC,15.99437186
2020-11-30 15:34:00 UTC,0.61708566
2020-11-30 15:35:00 UTC,1.72477168
2020-11-30 15:36:00 UTC,0.76386206
2020-11-30 15:37:00 UTC,1.02200207
2020-11-30 15:38:00 UTC,0.13132713
2020-11-30 15:39:00 UTC,0.72171837
2020-11-30 15:40:00 UTC,0.66517172
2020-11-30 15:41:00 UTC,1.58278423
2020-11-30 15:42:00 UTC,0.24273621
2020-11-30 15:43:00 UTC,0.13431631
2020-11-30 15:44:00 UTC,0.06572321
2020-11-30 15:45:00 UTC,0.06612719
2020-11-30 15:46:00 UTC,1.11936513
2020-11-30 15:47:00 UTC,0.00097327
2020-11-30 15:48:00 UTC,0.0455082
2020-11-30 15:49:00 UTC,0.07313003
2020-11-30 15:50:00 UTC,0.35726566
2020-11-30 15:51:00 UTC,0.87471761
2020-11-30 15:52:00 UTC,0.01954295
2020-11-30 15:53:00 UTC,0.42803888
2020-11-30 15:54:00 UTC,0.13887098
2020-11-30 15:55:00 UTC,0.09276937
2020-11-30 15:56:00 UTC,1.76173018
2020-11-30 15:57:00 UTC,0.34887351
2020-11-30 15:58:00 UTC,0.28847108
